date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:30:20	46621/46621	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Dec%202024%2018:30:18%20GMT	https://leans.fun/dev	E:/site/1/leans.fun/dev.html	(from )
21:30:20	138/138	---MC-	200	added ('OK')	text/plain	date:Sun,%2008%20Dec%202024%2018:30:18%20GMT	https://leans.fun/robots.txt		(from )
21:30:21	222792/222792	---M--	200	added ('OK')	image/png	etag:W/%2236648-1934355b270%22	https://leans.fun/assets/decorations/spirit-embers.png	E:/site/1/leans.fun/assets/decorations/spirit-embers.png	(from https://leans.fun/dev)
21:30:21	52751/52751	---MCZ	200	added ('OK')	text/css	etag:W/%22ce0f-193a6515b90%22	https://leans.fun/_next/static/css/b6082875068b16a9.css	E:/site/1/leans.fun/_next/static/css/b6082875068b16a9.css	(from https://leans.fun/dev)
21:30:21	3969/3969	---MCZ	200	added ('OK')	text/css	etag:W/%22f81-193a6515b90%22	https://leans.fun/_next/static/css/aeb423f38f97b93f.css	E:/site/1/leans.fun/_next/static/css/aeb423f38f97b93f.css	(from https://leans.fun/dev)
21:30:22	3761/3761	---MCZ	200	added ('OK')	application/javascript	etag:W/%22eb1-193a6515b90%22	https://leans.fun/_next/static/chunks/webpack-59cca41aa0c9beef.js	E:/site/1/leans.fun/_next/static/chunks/webpack-59cca41aa0c9beef.js	(from https://leans.fun/dev)
21:30:22	172832/172832	---MCZ	200	added ('OK')	application/javascript	etag:W/%222a320-193a6515b90%22	https://leans.fun/_next/static/chunks/fd9d1056-774bff0ec1555211.js	E:/site/1/leans.fun/_next/static/chunks/fd9d1056-774bff0ec1555211.js	(from https://leans.fun/dev)
21:30:23	123414/123414	---MCZ	200	added ('OK')	application/javascript	etag:W/%221e216-193a6515b90%22	https://leans.fun/_next/static/chunks/7023-1ce10e5b7ad348a2.js	E:/site/1/leans.fun/_next/static/chunks/7023-1ce10e5b7ad348a2.js	(from https://leans.fun/dev)
21:30:23	466/466	---M--	200	added ('OK')	application/javascript	etag:W/%221d2-193a6515b90%22	https://leans.fun/_next/static/chunks/main-app-2a5d4c19ce891f66.js	E:/site/1/leans.fun/_next/static/chunks/main-app-2a5d4c19ce891f66.js	(from https://leans.fun/dev)
21:30:24	18059/18059	---MCZ	200	added ('OK')	application/javascript	etag:W/%22468b-193a6515b90%22	https://leans.fun/_next/static/chunks/app/layout-9423398c5501f296.js	E:/site/1/leans.fun/_next/static/chunks/app/layout-9423398c5501f296.js	(from https://leans.fun/dev)
21:30:24	20537/20537	---MCZ	200	added ('OK')	application/javascript	etag:W/%225039-193a6515b90%22	https://leans.fun/_next/static/chunks/231-c7383e5bbc7f8e01.js	E:/site/1/leans.fun/_next/static/chunks/231-c7383e5bbc7f8e01.js	(from https://leans.fun/dev)
